,property_type,place_with_parent_names,lat-lon,area_m2,price_usd
41,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.428767,-99.1459",75,56689.55
42,house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|Izcalli Ecatepec|,"19.595285,-99.050201",149,100104.31
43,apartment,|México|Estado de México|Atizapán de Zaragoza|,"19.531834,-99.240456",117,144922.18
44,house,|México|Morelos|Cuautla|,"18.818652,-98.936752",293,110667.85
45,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"23.634501,-102.552788",233,99577.45
46,house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.137991,-86.870964",280,92201.34
47,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.7696195,-95.758949",160,92130.98
48,house,|México|San Luis Potosí|San Luis Potosí|,"22.169217188,-101.0471907892",190,99050.58
49,house,|México|Nuevo León|Santiago|Bosques de San José|,"23.634501,-102.552788",200,98523.72
50,house,|México|Estado de México|Juchitepec|Juchitepec de Mariano Riva Palacio|,"19.101794,-98.87164",300,52686.48
51,house,|México|Puebla|San Andrés Cholula|,,245,226551.88
52,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.517859,-96.891403",180,123842.59
53,house,|México|Distrito Federal|Tlalpan|,"19.2790911,-99.2114234",117,142253.5
54,apartment,|México|Oaxaca|Santa María Huatulco|,"15.752900306,-96.1357247829",83,68245.17
55,apartment,|México|Distrito Federal|Tlalpan|Fuentes del Pedregal|,"19.302422,-99.230829",104,103370.88
56,house,|México|Distrito Federal|Álvaro Obregón|,"19.343664,-99.212308",350,242357.82
57,apartment,|México|Guerrero|Acapulco de Juárez|,"16.868438,-99.89028",100,79029.72
58,house,|México|Yucatán|Mérida|Cholul|,,190,89061.27
59,house,|México|Morelos|Cuernavaca|,"18.93409,-99.254997",198,123813.23
60,house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.534415,-99.023333",280,55039.77
61,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,235,144887.83
62,house,|México|Puebla|San Andrés Cholula|,"19.043223,-98.268716",168,92201.34
63,apartment,|México|Puebla|Puebla|,"19.0527224248,-98.2346042991",75,81683.41
64,house,|México|Yucatán|Mérida|Temozon Norte|,,230,120074.62
65,house,|México|Morelos|Cuernavaca|La Cañada|,"18.981213,-99.206345",200,115910.26
66,apartment,|México|Distrito Federal|Benito Juárez|,"19.395097,-99.150424",80,53158.13
67,house,|México|Morelos|Temixco|,"18.862602,-99.213448",305,189716.32
68,house,|México|Jalisco|Zapopan|,"20.594334,-103.425086",90,57955.13
69,apartment,|México|Puebla|San Andrés Cholula|,,212,293358.34
70,house,|México|Puebla|Puebla|,"18.9915056,-98.2181614",152,105397.95
71,apartment,|México|San Luis Potosí|San Luis Potosí|,"22.125832,-101.035118",144,100128.05
72,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,252,144922.18
73,apartment,|México|Nuevo León|Monterrey|,"25.592172,-99.9961947",87,173490.81
74,house,|México|Estado de México|Toluca|,"19.295469,-99.692619",84,49986.51
75,house,|México|Guanajuato|Irapuato|,"20.703063,-101.339442",90,55320.8
76,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.670241,-101.190542",190,165962.42
77,house,|México|Yucatán|Mérida|,"20.9591553064,-89.627494812",135,89587.99
78,house,|México|Jalisco|Zapopan|,"20.635013,-103.42725",200,120652.04
79,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.673779,-101.187927",260,158059.45
80,apartment,|México|Tabasco|Centro|,"17.997911,-92.923836",125,210745.93
81,apartment,|México|Estado de México|Naucalpan de Juárez|,"19.508253,-99.254997",113,153686.47
82,apartment,|México|Morelos|Cuernavaca|,"18.937398,-99.246207",127,131747.44
83,apartment,|México|Baja California|Tijuana|Tijuana|Loma Bonita Norte|,"32.486253,-117.054332",63,36817.31
84,house,|México|Puebla|San Andrés Cholula|,"18.9802279987,-98.2865452766",272,210795.91
85,house,|México|Querétaro|El Marqués|,"20.5969621,-100.3337597",95,52698.97
86,house,|México|Yucatán|Mérida|,"21.0181429,-89.6396127",180,72724.58
87,house,|México|Chihuahua|Chihuahua|,"28.6275048,-106.0401387",212,44256.64
88,house,|México|Chiapas|Jiquipilas|Michoacán|,,280,252895.06
89,house,|México|Querétaro|Querétaro|,"20.723525,-100.45586",248,151210.2
90,house,|México|Distrito Federal|Tláhuac|,,223,79029.72
91,house,|México|Querétaro|Querétaro|Real de Juriquilla|,"20.729762,-100.467159",198,131716.2
92,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.7696195,-95.758949",245,147557.13
93,house,|México|Distrito Federal|Cuauhtémoc|,"19.410632,-99.13847",140,162801.23
94,house,|México|Estado de México|Tecámac|,"19.672207,-99.015656",158,86247.77
95,house,|México|Chihuahua|Chihuahua|,"28.6103324259,-106.1123085022",200,134382.39
96,house,|México|Baja California Sur|Los Cabos|El Zacatal|,"23.634501,-102.552788",100,44730.82
97,apartment,|México|Tabasco|Centro|,"17.928942,-92.912029",67,35826.8
98,house,|México|Estado de México|Cuautitlán Izcalli|,,70,57955.13
99,house,|México|Jalisco|Tlajomulco de Zúñiga|Tlajomulco de Zúñiga|,"20.572651,-103.474675",270,250260.79
100,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.1553371,-96.1682507",282,68508.67
101,house,|México|Yucatán|Mérida|,,203,93781.94
102,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.957177,-97.410652",350,115910.26
103,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,155,86932.69
104,house,|México|Nuevo León|Apodaca|,"25.7815621,-100.1875974",108,35036.51
105,house,|México|Yucatán|Mérida|Cholul|,"21.039522,-89.563911",162,83226.17
106,house,|México|Puebla|San Andrés Cholula|Lomas de Angelópolis|,,280,173865.39
107,house,|México|Querétaro|Corregidora|,"20.543838,-100.412211",145,115910.26
108,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.1564195,-96.111619",190,124633.08
109,house,|México|Estado de México|Atizapán de Zaragoza|Ciudad Adolfo López Mateos|Bosque Esmeralda|,,250,315592.03
110,house,|México|Distrito Federal|Xochimilco|San Juan Tepepan|,"19.275725,-99.129684",80,132559.19
111,house,|México|Morelos|Yautepec|,"18.90666,-98.965851",330,184402.69
112,apartment,|México|Distrito Federal|Iztapalapa|,"19.342083,-99.0532159",83,52574.87
113,house,|México|Querétaro|Querétaro|,"20.570164,-100.363823",135,78521.47
114,house,|México|Morelos|Cuernavaca|,"18.926468,-99.214211",340,289775.66
115,apartment,|México|Distrito Federal|Benito Juárez|,"19.368553,-99.178235",174,89430.16
116,house,|México|Querétaro|Querétaro|,"20.5828187131,-100.417855382",93,59022.85
117,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.427607,-99.160835",102,177267.41
118,house,|México|Chiapas|Tuxtla Gutiérrez|Tuxtla Gutiérrez|San Pedro Progresivo|,"16.770111,-93.08167",144,71126.75
119,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.460046,-99.140495",70,79029.72
120,house,|México|Morelos|Atlatlahucan|Fraccionamiento Lomas de Cocoyoc|,"18.9015371,-98.9336558",200,123842.59
121,house,|México|Puebla|San Andrés Cholula|San Andrés Cholula|Lomas de Angelópolis II|,,263,273969.71
