,property_type,place_with_parent_names,lat-lon,area_m2,price_usd
310,house,|México|Morelos|Cuernavaca|,"18.939657,-99.20237",185,189716.32
311,house,|México|Distrito Federal|Álvaro Obregón|Flor de Maria|,"19.345431,-99.209949",200,228450.07
312,house,|México|Nuevo León|San Pedro Garza García|,"25.660103,-100.410858",127,131747.44
313,house,|México|Colima|Villa de Álvarez|,,90,41095.45
314,house,|México|Estado de México|Atizapán de Zaragoza|,"19.564925,-99.218415",110,143834.1
315,house,|México|Nuevo León|Guadalupe|,"25.652299,-100.266174",281,152790.8
316,house,|México|Morelos|Cuernavaca|,,210,173906.62
317,house,|México|San Luis Potosí|Cerro de San Pedro|,,350,137017.34
318,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.452665,-99.121497",75,34421.81
319,house,|México|Puebla|San Pedro Cholula|,,213,152263.93
320,apartment,|México|Guerrero|Acapulco de Juárez|,"16.869995,-99.869568",72,48471.56
321,house,|México|Chiapas|Tuxtla Gutiérrez|,"16.768602,-93.164162",185,82717.77
322,house,|México|Hidalgo|Mineral del Monte|,"23.634501,-102.552788",120,63223.78
323,house,|México|Estado de México|Toluca|,"19.317622,-99.607241",200,158059.45
324,house,|México|Guerrero|,"16.850374,-99.850166",168,115937.75
325,apartment,|México|Yucatán|Mérida|,"21.0306572,-89.5945502",144,79048.46
326,house,|México|Distrito Federal|Benito Juárez|,"19.359798,-99.161675",90,131716.2
327,house,|México|Distrito Federal|Coyoacán|Campestre Churubusco|,"19.3434226,-99.1359301",182,68492.42
328,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,255,147522.15
329,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.4503249,-99.1351802",91,79029.72
330,house,|México|Tamaulipas|Altamira|,"22.3918646281,-97.9089224339",76,35826.8
331,apartment,|México|Distrito Federal|Coyoacán|,"19.307417,-99.125191",75,36882.11
332,house,|México|Durango|Durango|,"24.0277202,-104.6531759",245,92201.34
333,apartment,|México|Estado de México|Huixquilucan|,"19.374843,-99.293871",120,59711.33
334,apartment,|México|San Luis Potosí|San Luis Potosí|,"22.1352302,-101.0266343",140,73234.21
335,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.577366,-103.437088",348,155425.12
336,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.517859,-96.891403",300,142253.5
337,house,|México|Querétaro|Querétaro|,"20.605692,-100.38488",290,208111.61
338,apartment,|México|Quintana Roo|Solidaridad|Playa del Carmen|,,80,43740.15
339,house,|México|San Luis Potosí|San Luis Potosí|,"22.158050728,-100.9284004569",180,50064.02
340,house,|México|Morelos|Temixco|Brisas|,"18.847519,-99.220529",162,89567.02
341,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.119549,-96.107643",190,94331.17
342,house,|México|Distrito Federal|Tlalpan|Jardines en la Montaña|,"19.301835,-99.206377",300,207057.88
343,house,|México|Chiapas|Tuxtla Gutiérrez|,"16.756552,-93.181732",215,163366.83
344,house,|México|Morelos|Cuautla|,"18.813505,-98.953514",80,34246.21
345,house,|México|Campeche|Campeche|,"19.8301251,-90.5349087",160,115937.75
346,house,|México|Querétaro|Querétaro|,"20.592563,-100.371039",271,179134.04
347,house,|México|Hidalgo|Tula de Allende|,"20.044181,-99.34648",169,84054.87
348,house,|México|Nuevo León|Monterrey|,,320,197621.16
349,apartment,|México|Distrito Federal|Benito Juárez|,"19.396893,-99.152302",80,85899.33
350,house,|México|Yucatán|Telchac Puerto|Telchac Puerto|,,160,168596.74
351,house,|México|Jalisco|San Pedro Tlaquepaque|,"20.615292,-103.312843",230,131716.2
352,house,|México|Guanajuato|León|,"21.202881,-101.679077",167,68492.42
353,house,|México|Yucatán|Mérida|,"21.0315095,-89.600513",349,200256.11
354,house,|México|Distrito Federal|Álvaro Obregón|Olivar de los Padres|,"19.33981,-99.216052",272,260798.09
355,house,|México|Nuevo León|Monterrey|,"25.6773984,-100.3940095",347,292796.2
356,house,|México|Yucatán|Mérida|,"21.0344135,-89.5978127",305,194986.21
357,house,|México|Morelos|Cuernavaca|,"18.936026,-99.216217",270,255590.04
358,house,|México|Chiapas|Jiquipilas|Michoacán|,,72,40578.21
359,house,|México|Baja California|Mexicali|,,106,67333.32
360,house,|México|Querétaro|El Marqués|,"20.607178,-100.335754",75,35563.37
361,house,|México|Guerrero|Acapulco de Juárez|,,80,118544.58
362,house,|México|Estado de México|Naucalpan de Juárez|,"19.470298,-99.272488",218,255529.44
363,house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.522923,-99.241837",340,250260.79
364,house,|México|Querétaro|Querétaro|,"20.570164,-100.363823",170,123842.59
365,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.1477847816,-94.4396674633",240,115937.75
366,house,|México|Distrito Federal|Iztacalco|,"19.399741,-99.115503",100,57287.8
367,house,|México|Distrito Federal|Xochimilco|,"19.282308,-99.126869",130,119651
368,apartment,|México|Estado de México|Coacalco de Berriozábal|Coacalco de Berriozabal|,"19.634604,-99.088905",76,34245.11
369,house,|México|Sinaloa|Mazatlán|,,122,86932.69
370,house,|México|Morelos|Cuernavaca|,"18.904448,-99.242474",106,105372.96
371,house,|México|Distrito Federal|Cuauhtémoc|,"19.456544,-99.127136",278,183875.82
372,house,|México|Querétaro|Querétaro|,"20.726007,-100.442642",285,231875.5
373,house,|México|Querétaro|Corregidora|,"20.548123,-100.436245",300,200208.63
374,apartment,|México|Distrito Federal|Benito Juárez|,"19.396705,-99.181902",85,76740.25
375,house,|México|Querétaro|Querétaro|,"20.6543981,-100.3546346",137,83264.38
376,house,|México|Chiapas|Tuxtla Gutiérrez|,"16.766762,-93.148401",160,154371.39
377,house,|México|Morelos|Cuernavaca|,"18.954132,-99.266083",94,55333.92
378,house,|México|Nuevo León|Monterrey|Mitras Centro|,"25.696475,-100.345717",220,165962.42
379,apartment,|México|Distrito Federal|Tlalpan|Valle de Tepepan|,"19.270165,-99.152404",80,131400.09
380,house,|México|Guerrero|,"23.634501,-102.552788",100,50052.15
381,apartment,|México|Distrito Federal|Benito Juárez|,"19.39912,-99.141464",92,142253.5
382,house,|México|Estado de México|Toluca|Metepec|San Miguel Totocuitlapilco|,"19.229864,-99.597954",270,231820.52
383,apartment,|México|Distrito Federal|Benito Juárez|,"19.376589,-99.153107",107,215482.45
384,house,|México|Yucatán|Mérida|Temozon Norte|,"21.072905,-89.65963",280,110351.66
385,house,|México|Querétaro|El Marqués|,,198,118572.7
386,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,280,41105.2
387,house,|México|Puebla|San Andrés Cholula|,"19.044477,-98.328011",350,226551.88
388,apartment,|México|Estado de México|Cuautitlán Izcalli|,"19.6494549,-99.2023662",69,38461.13
389,apartment,|México|Estado de México|Atizapán de Zaragoza|,"19.60537,-99.233148",60,39146.05
390,house,|México|Tabasco|Centro|,"17.999552,-92.950018",151,115910.26
391,house,|México|Puebla|Juan C. Bonilla|,"19.1090862,-98.3289824",160,84318.36
392,house,|México|Morelos|Cuernavaca|,"18.910368,-99.1996",200,129081.88
393,house,|México|Jalisco|,"20.775549,-103.691269",300,134350.53
394,house,|México|Nuevo León|Apodaca|,"25.7671943,-100.2575589",150,35308.31
395,house,|México|Baja California Sur|La Paz|,"24.168865,-110.306996",330,290434.24
396,house,|México|Baja California|Tijuana|Tijuana|Fideicomiso el Florido|,"32.457415,-116.88252",102,61643.18
397,house,|México|Sinaloa|Mazatlán|,,108,96932.59
398,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,236,110114.75
399,house,|México|Querétaro|Querétaro|,"20.726007,-100.442642",200,121705.77
400,apartment,|México|Oaxaca|Oaxaca de Juárez|,"17.0588513685,-96.749432981",94,51118
401,house,|México|Estado de México|Atizapán de Zaragoza|,"19.550762,-99.242156",160,111194.84
402,house,|México|Yucatán|Mérida|Cholul|,"21.0412206815,-89.5549756587",174,82842.79
403,house,|México|Puebla|Atlixco|,,106,66384.96
404,apartment,|México|Distrito Federal|Iztapalapa|El Retoño|,"19.373161,-99.130394",69,84298.37
405,house,|México|Morelos|Yautepec|,"18.917542,-98.963181",210,118572.7
406,apartment,|México|Nuevo León|San Pedro Garza García|San Pedro Garza García|Los Arcángeles|,"25.657194,-100.340521",110,262378.68
407,house,|México|San Luis Potosí|San Luis Potosí|,,215,113302.8
408,house,|México|Morelos|Cuernavaca|,"18.94542,-99.223195",380,289775.66
409,house,|México|Querétaro|El Marqués|,"20.6113606,-100.3288581",132,86953.31
410,house,|México|Chiapas|Tuxtla Gutiérrez|,"16.773806,-93.096295",165,71126.75
411,house,|México|Distrito Federal|Gustavo A. Madero|,"19.493973,-99.130394",300,179239.41
412,apartment,|México|Quintana Roo|Solidaridad|Playa del Carmen|,"20.626583,-87.078659",145,115437.11
413,apartment,|México|Nuevo León|San Pedro Garza García|,"25.651072,-100.342773",126,175924.99
414,house,|México|Distrito Federal|Álvaro Obregón|Lomas de Tarango|,"19.362795,-99.218987",80,46715.31
415,house,|México|Querétaro|Querétaro|,"20.631845,-100.390495",180,118572.7
416,house,|México|Nuevo León|García|,"25.637247,-100.382774",194,76395.4
417,house,|México|Quintana Roo|Benito Juárez|Cancún|Región 500|,"21.138567,-86.842937",185,97469.99
418,house,|México|Guerrero|Acapulco de Juárez|,"16.874741,-99.889244",300,98787.15
419,apartment,|México|Distrito Federal|Benito Juárez|,"19.395097,-99.150424",80,53158.18
420,apartment,|México|Distrito Federal|Azcapotzalco|Industrial San Antonio|,"19.478815,-99.196831",64,76395.4
421,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.554081,-96.911522",95,38461.13
422,house,|México|Puebla|Puebla|,,290,316118.9
423,house,|México|Tamaulipas|Tampico|,"22.276130897,-97.8784418106",232,139652.29
424,house,|México|Morelos|Cuernavaca|,"18.9611008,-99.2684274",192,173906.62
425,apartment,|México|Distrito Federal|Gustavo A. Madero|,"19.51918,-99.143403",60,34983.82
426,apartment,|México|Yucatán|Mérida|,"21.03071,-89.618103",131,77467.49
427,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.671921,-101.197362",240,97469.99
428,house,|México|Estado de México|Naucalpan de Juárez|,"19.514929,-99.2542064",356,288721.93
429,house,|México|Estado de México|Toluca|,"19.295469,-99.692619",150,57968.87
430,house,|México|Estado de México|Naucalpan de Juárez|,"19.488134,-99.230759",110,138934.25
431,apartment,|México|Distrito Federal|Coyoacán|,"19.326108,-99.122758",70,49273.54
432,house,|México|Sonora|Hermosillo|,"29.105133,-110.943916",357,210745.93
433,house,|México|Morelos|Temixco|,,213,168596.74
434,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.711031,-101.245743",256,60603.82
435,house,|México|Nuevo León|Monterrey|Colinas del Huajuco|,"25.5883667,-100.2430415",300,162393.9
436,house,|México|Baja California Sur|La Paz|,"24.155968,-110.315987",204,135963.36
437,house,|México|Distrito Federal|Azcapotzalco|,"19.483263,-99.186297",190,102369.83
438,house,|México|Estado de México|Huixquilucan|Huixquilucan de Degollado|Lomas Anáhuac|,"19.404718,-99.263313",139,252895.12
439,house,|México|Baja California|Mexicali|,,106,69124.66
440,house,|México|Chihuahua|Chihuahua|,"28.678531,-106.040439",115,46890.97
441,house,|México|Yucatán|Mérida|,"21.0064261,-89.6850751",90,60603.82
442,apartment,|México|Distrito Federal|Benito Juárez|,"23.634501,-102.552788",85,94835.67
443,house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.580685,-99.047432",70,34254.33
444,house,|México|Estado de México|Toluca|,,230,142253.5
445,house,|México|Querétaro|Querétaro|,"20.571299,-100.383032",90,37353.34
446,house,|México|Yucatán|Mérida|,"20.9904342,-89.6004394",200,79029.72
447,house,|México|Morelos|Cuernavaca|,"18.953518,-99.272508",300,147522.15
448,house,|México|Nuevo León|Monterrey|,"25.686357,-100.376106",380,200256.11
449,house,|México|Distrito Federal|Iztapalapa|,,90,81664.04
450,house,|México|Baja California|Tijuana|Tijuana|Herradura Sur|,"32.494759,-117.016926",92,51632.75
451,house,|México|Jalisco|Zapopan|,"20.7540020174,-103.3824715018",290,152790.8
452,house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.562864,-99.064713",90,52686.48
453,house,|México|Querétaro|Tequisquiapan|,"20.5285264774,-99.88301754",136,79048.46
454,house,|México|Querétaro|Querétaro|,,250,160693.77
455,apartment,|México|San Luis Potosí|San Luis Potosí|,"22.133745,-101.016029",174,143868.21
456,apartment,|México|Distrito Federal|Tlalpan|Granjas Coapa|,"19.299864,-99.111133",65,135225.12
457,house,|México|Guanajuato|San Miguel de Allende|,,215,212589.96
458,house,|México|Estado de México|Nezahualcóyotl|,"19.493069,-99.060346",343,191620.74
459,house,|México|Querétaro|Tequisquiapan|,,150,63223.78
460,house,|México|Querétaro|Querétaro|,"20.6536084,-100.3469826",176,110140.86
461,apartment,|México|Distrito Federal|Benito Juárez|,"19.384724,-99.145619",145,123813.23
462,house,|México|Jalisco|Tequila|Tequila|Tequila Centro|,"20.883594,-103.839896",100,184402.69
463,house,|México|Nuevo León|Monterrey|,"25.6866142,-100.3161126",90,242357.82
464,house,|México|Morelos|Cuautla|,"18.804197,-98.932816",140,51632.75
465,house,|México|Querétaro|Querétaro|,"20.7047931,-100.4462718",250,150192.08
466,house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.589786878,-99.0521619915",80,36889.28
467,house,|México|Puebla|San Andrés Cholula|,"18.972588,-98.282691",202,150894.08
468,house,|México|Nuevo León|Monterrey|,"25.530777,-100.2071",299,194939.99
469,house,|México|Morelos|Cuernavaca|,,230,189716.32
470,house,|México|Querétaro|Querétaro|,"20.593385,-100.361619",100,115910.26
471,house,|México|Puebla|San Andrés Cholula|,"19.017727,-98.316376",182,108559.89
472,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.454332,-99.200287",62,50591.01
473,house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.139086,-86.84964",200,158096.93
474,house,|México|Estado de México|Chapultepec|,"19.2030655,-99.5478784",106,38724.56
475,house,|México|Sinaloa|Mazatlán|,"23.290356,-106.426237",150,93781.94
476,house,|México|Colima|Villa de Álvarez|,"19.277207,-103.734973",161,52633.79
477,house,|México|Nuevo León|Monterrey|,"25.7393693814,-100.2269947529",266,144700.85
478,house,|México|Puebla|San Pedro Cholula|,,210,150719.07
479,house,|México|Morelos|Cuernavaca|,"18.901708,-99.237779",250,242357.82
480,house,|México|Puebla|Puebla|,,170,68492.42
481,apartment,|México|Distrito Federal|Iztacalco|,"19.368808,-99.112954",83,115910.26
482,house,|México|Yucatán|Mérida|,"21.0369774162,-89.6034273505",175,126214.05
483,house,|México|Morelos|Atlatlahucan|,"23.634501,-102.552788",270,229186.2
484,apartment,|México|Distrito Federal|Iztapalapa|,"19.38342,-99.086604",88,100104.31
485,house,|México|Morelos|Cuernavaca|,"18.93409,-99.254997",145,102738.64
486,house,|México|Puebla|Puebla|,,220,131747.44
487,house,|México|Distrito Federal|Álvaro Obregón|,"19.380834,-99.200764",350,161258.87
488,house,|México|Puebla|San Andrés Cholula|,,261,218648.9
489,apartment,|México|Chiapas|Tuxtla Gutiérrez|,,102,56374.53
490,house,|México|Morelos|Yautepec|,"18.886955,-99.062244",68,43202.91
491,house,|México|Nuevo León|Monterrey|,"25.679226,-100.344032",210,155425.12
492,apartment,|México|Quintana Roo|Benito Juárez|,,80,167807.03
493,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.413009,-99.17109",127,289775.66
494,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.410215,-99.14595",70,44048.85
495,apartment,|México|Distrito Federal|Benito Juárez|,"19.367424,-99.185753",82,154898.26
496,apartment,|México|Distrito Federal|Benito Juárez|,,142,306813.45
497,house,|México|Sinaloa|Mazatlán|,,143,72180.48
498,house,|México|San Luis Potosí|San Luis Potosí|,"22.0951835008,-100.87474823",172,50157.53
499,house,|México|Querétaro|Querétaro|,,350,205477.28
500,apartment,|México|Distrito Federal|Tlalpan|Granjas Coapa|,"19.298168,-99.113106",83,177695.7
501,apartment,|México|Estado de México|Atizapán de Zaragoza|,"19.5652097,-99.2646998",87,84318.36
502,house,|México|Chiapas|Jiquipilas|Michoacán|,,180,36880.53
503,house,|México|Estado de México|Atizapán de Zaragoza|,"19.5527338,-99.2494583",200,92223.21
504,house,|México|Yucatán|Mérida|Temozon Norte|,"21.0634817,-89.6110378",235,146995.28
505,house,|México|Tamaulipas|Ciudad Madero|,"22.285725,-97.843597",218,118572.7
506,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,220,163366.83
507,house,|México|Querétaro|Corregidora|,"20.5230129,-100.4302641",184,93804.18
508,apartment,|México|Distrito Federal|Miguel Hidalgo|Anahuac|,"19.440043,-99.176894",79,137017.34
509,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.439536,-100.994925",293,158059.45
510,apartment,|México|San Luis Potosí|San Luis Potosí|,"22.144705,-101.04092",144,90620.75
511,house,|México|Yucatán|Mérida|,"20.9959805028,-89.6128177643",374,247421.7
512,house,|México|Tamaulipas|Altamira|,"22.3286560021,-97.8898514392",140,73778.56
513,house,|México|Morelos|Emiliano Zapata|,"18.858107,-99.200287",92,64556.24
514,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.0530826,-96.0588921",200,108007.29
515,house,|México|Morelos|Cuernavaca|,"18.883513,-99.221881",80,44783.51
516,house,|México|Morelos|Cuernavaca|,"18.933414,-99.194748",250,292900.92
517,house,|México|Morelos|Cuernavaca|,"18.935198,-99.232834",180,168596.74
518,house,|México|Nuevo León|San Nicolás de los Garza|,"25.7385463,-100.3184093",254,139652.29
519,house,|México|Guerrero|Acapulco de Juárez|,,107,46100.67
520,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.41275,-99.126007",60,35890.24
521,apartment,|México|Distrito Federal|Benito Juárez|,"19.364891,-99.148384",78,150830.86
522,house,|México|Estado de México|Ocoyoacac|,"19.272732,-99.453377",126,68492.42
523,house,|México|Estado de México|Naucalpan de Juárez|,"19.490576,-99.254997",350,210745.93
524,house,|México|Querétaro|Corregidora|,"20.5535753,-100.4222725",156,86953.31
525,house,|México|Querétaro|Querétaro|,"20.572051,-100.406716",227,125920.69
526,house,|México|Baja California|Tijuana|Tijuana|Fideicomiso el Florido|,"32.457469,-116.882435",102,61643.18
527,house,|México|Distrito Federal|Iztapalapa|Minerva|,"19.353373,-99.1138",160,106127.01
528,house,|México|Morelos|Cuernavaca|,,80,47417.83
529,house,|México|Yucatán|Mérida|Santa Gertrudis Copo|,"21.039522,-89.563911",270,164947.8
530,house,|México|Jalisco|Chapala|,"20.2959587,-103.1944627",204,94835.67
531,house,|México|Querétaro|San Juan del Río|,"20.379178,-99.966431",80,34246.21
532,house,|México|Morelos|Cuautla|,"18.804409,-98.959038",130,47417.83
533,house,|México|Guanajuato|Salamanca|,"20.5958037462,-101.186433658",195,94858.16
534,house,|México|Estado de México|Toluca|,,85,39524.23
535,house,|México|Tamaulipas|Tampico|,"22.272678,-97.883728",350,237145.4
536,house,|México|Morelos|Cuernavaca|,,180,102763
537,house,|México|Tamaulipas|Tampico|,"22.309216,-97.89325",109,45848.11
538,house,|México|Morelos|Emiliano Zapata|,"18.808657,-99.203751",67,34254.33
539,house,|México|Jalisco|Zapopan|,"20.712604,-103.391146",361,194939.99
540,house,|México|Nuevo León|San Pedro Garza García|San Pedro Garza García|,"25.6626225,-100.3688142",311,240884.28
541,house,|México|Puebla|San Andrés Cholula|,"19.059084,-98.286095",243,101445.53
542,house,|México|Aguascalientes|Aguascalientes|Aguascalientes|Colinas del Rio|,"21.89658,-102.316322",245,78502.86
543,house,|México|Campeche|Campeche|,"19.8308743,-90.5359003",180,76413.51
544,house,|México|Estado de México|Naucalpan de Juárez|,"19.491798,-99.262423",150,168596.74
545,house,|México|Distrito Federal|Gustavo A. Madero|,"19.508428,-99.125896",150,45057.62
546,house,|México|Chihuahua|Chihuahua|,"28.70466,-106.089596",78,51632.75
547,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.454332,-99.200287",90,53832.41
548,house,|México|Puebla|Puebla|Puebla (Heroica Puebla)|Zona Cementos Atoyac|,"19.077675,-98.225566",175,118544.58
549,house,|México|Morelos|Yautepec|,"23.634501,-102.552788",160,99577.45
550,house,|México|Puebla|Puebla|,,151,99442.97
551,house,|México|Guanajuato|Guanajuato|,,206,134909.38
552,house,|México|Morelos|Yautepec|Oacalco|,"18.922282,-99.04435",70,46469.47
553,house,|México|Chiapas|Tuxtla Gutiérrez|Tuxtla Gutiérrez|Calvarium|,"16.742777,-93.119011",140,73778.56
554,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.945961,-97.389905",200,289775.66
555,house,|México|San Luis Potosí|San Luis Potosí|,"22.193162,-101.005431",80,39514.86
556,apartment,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.119549,-96.107643",93,76413.51
557,house,|México|Estado de México|Naucalpan de Juárez|,"19.4953683665,-99.2584598064",140,68508.67
558,house,|México|Quintana Roo|Benito Juárez|,"21.139641,-86.879738",100,36880.53
559,house,|México|Querétaro|Querétaro|,"20.659601,-100.442467",301,274034.68
560,house,|México|Yucatán|Mérida|,"21.3103259143,-89.248380661",325,187081.37
561,house,|México|Querétaro|Querétaro|,,170,110641.61
562,apartment,|México|Distrito Federal|Benito Juárez|,"19.393257,-99.157113",100,71653.61
563,house,|México|Baja California|Tijuana|,,61,38461.13
564,house,|México|Yucatán|Mérida|Dzitya|,"21.072905,-89.65963",190,97493.1
565,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.9475017,-97.3631926",110,67860.19
566,house,|México|Estado de México|Zinacantepec|,,72,40568.59
567,house,|México|Nuevo León|San Nicolás de los Garza|,"25.721457,-100.228301",190,88513.29
568,house,|México|Estado de México|Nezahualcóyotl|,"19.406092,-99.011968",177,80083.45
569,house,|México|San Luis Potosí|San Luis Potosí|,"22.125832,-101.035118",197,147557.13
570,house,|México|Yucatán|Mérida|,"21.023252,-89.614571",320,150192.08
571,house,|México|Estado de México|Toluca|,"19.31673,-99.581169",80,47944.7
572,house,|México|Querétaro|Querétaro|,"20.647322,-100.479441",82,36248.3
573,house,|México|Puebla|Puebla|,,235,173865.39
574,house,|México|Estado de México|Tecámac|Tecamac de Felipe Villanueva|,"19.7100885,-98.9659399",99,75783.82
575,apartment,|México|Distrito Federal|Gustavo A. Madero|Vallejo|,"19.462951,-99.125888",208,131716.2
576,house,|México|Yucatán|Mérida|Dzitya|,"21.072905,-89.65963",290,126477.54
577,house,|México|Tamaulipas|Tampico|,"22.3140373,-97.8800254",178,51644.99
578,house,|México|Jalisco|Tlajomulco de Zúñiga|Tlajomulco de Zúñiga|,"20.547053,-103.47907",340,262440.91
579,house,|México|Tlaxcala|Tlaxcala|,"19.308845,-98.214439",85,35826.8
580,apartment,|México|Chiapas|Tuxtla Gutiérrez|,"16.745515,-93.15228",102,46364.1
581,house,|México|Nayarit|Tepic|,,75,63238.77
582,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.704245,-101.165592",150,94835.67
583,apartment,|México|Estado de México|Cuautitlán Izcalli|,,97,89588.26
584,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.525183,-103.377502",104,33192.48
585,house,|México|San Luis Potosí|San Luis Potosí|,"22.136711,-101.041163",270,163328.09
586,apartment,|México|Yucatán|Mérida|Santa Gertrudis Copo|,"21.039522,-89.563911",119,115814.11
587,house,|México|Estado de México|Ixtapan de la Sal|Ixtapan de la Sal|,"18.831146,-99.675944",125,73761.07
588,house,|México|Querétaro|Corregidora|,"20.558271,-100.42942",139,97469.99
589,house,|México|Yucatán|Mérida|,,325,167582.75
590,house,|México|Chiapas|Jiquipilas|Michoacán|,,260,143307.23
591,house,|México|Guanajuato|León|,"21.178095,-101.708252",360,178607.18
592,house,|México|Nuevo León|Monterrey|,,300,187037.01
593,apartment,|México|Distrito Federal|Iztacalco|,"19.403794,-99.155899",70,54235.15
594,house,|México|Yucatán|Mérida|,,346,191357.3
595,house,|México|Querétaro|Corregidora|,"20.543869,-100.414032",150,51105.88
596,apartment,|México|Distrito Federal|Coyoacán|Campestre Churubusco|,"19.343424,-99.135933",84,115910.26
597,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.532236,-96.94104",180,79029.72
598,house,|México|Morelos|Cuernavaca|,,196,94858.16
599,house,|México|Jalisco|Zapopan|,"20.755376,-103.39302",120,71143.62
600,apartment,|México|Yucatán|Mérida|,"21.008295,-89.591019",142,91169.23
601,apartment,|México|Distrito Federal|Benito Juárez|,"19.382649,-99.143384",65,44178.77
602,house,|México|Distrito Federal|Álvaro Obregón|,"23.634501,-102.552788",200,152790.8
603,house,|México|Tamaulipas|Tampico|,"22.268972,-97.860939",200,121207.64
604,house,|México|Guerrero|Acapulco de Juárez|,"16.856389,-99.913115",131,47417.83
605,house,|México|Yucatán|Mérida|,,163,73778.56
606,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.1279472004,-96.1076366901",200,104319.23
607,apartment,|México|Puebla|Puebla|,"19.076612,-98.236336",93,57884.47
608,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,221,97493.1
609,house,|México|Querétaro|San Juan del Río|,"20.391528,-99.981438",202,121207.64
610,house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.1661723,-86.8251719",370,200256.11
611,house,|México|Baja California|Tijuana|,"32.46906,-116.81963",86,52605.29
612,apartment,|México|Yucatán|Mérida|Temozon Norte|,"21.0634817,-89.6110378",63,44794.13
613,house,|México|Puebla|San Andrés Cholula|,,286,194149.69
614,apartment,|México|Baja California|Tijuana|Tijuana|San Antonio del Mar|,"23.634501,-102.552788",95,84313.09
615,house,|México|Querétaro|Querétaro|Colonia San Francisco|,"20.745667,-100.455109",290,236091.42
616,apartment,|México|Tamaulipas|Tampico|,"22.292006,-97.866714",128,85878.96
617,house,|México|Puebla|Puebla|,"19.061148,-98.248372",120,59535.72
618,house,|México|Morelos|Cuernavaca|,"18.969536,-99.215979",180,81664.04
619,house,|México|Estado de México|San Mateo Atenco|San Mateo Atenco|,"19.300028,-99.566057",198,53666.55
620,house,|México|Yucatán|Mérida|,"20.999418,-89.619278",377,224339.55
621,apartment,|México|Distrito Federal|Benito Juárez|,"19.401507,-99.14682",92,67438.69
622,house,|México|Estado de México|Coacalco de Berriozábal|Coacalco de Berriozabal|,"19.663315,-99.103287",100,80083.45
623,apartment,|México|Yucatán|Mérida|,"21.030668,-89.599258",82,62696.91
624,house,|México|Guerrero|Acapulco de Juárez|,,120,118544.58
625,house,|México|Colima|Colima|,"19.255166,-103.680325",105,46627.53
626,house,|México|Morelos|Xochitepec|,"18.743973,-99.254183",79,42941.43
627,house,|México|Yucatán|Mérida|,"21.037875,-89.648252",123,41095.45
628,apartment,|México|Quintana Roo|Benito Juárez|Cancún|,"21.1495343889,-86.8515973089",79,80015.91
629,house,|México|Morelos|Cuernavaca|,"18.951663,-99.218298",376,263432.41
630,apartment,|México|Distrito Federal|Benito Juárez|,"19.381078,-99.186714",70,85668.22
631,house,|México|Sinaloa|Culiacán|,"24.8225157463,-107.4352383614",105,55847.67
632,house,|México|Puebla|San Andrés Cholula|Lomas de Angelópolis|,,200,143341.22
633,house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.522923,-99.241837",200,229240.55
634,house,|México|Querétaro|Querétaro|,"20.693433,-100.446219",160,121178.91
635,house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|Jardines de Santa Clara|,"19.545727,-99.039146",133,67438.69
